<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20220402;000000;24.985;28.2;24.825;26.5;58443100
20220405;000000;27.025;28.495;27.005;28;43250500
20220406;000000;28.405;28.475;25.445;26.19;36137400
20220407;000000;26.01;27.495;25.51;26.1;19668300
20220408;000000;26.25;26.7;25.9;26.1;13721000
20220409;000000;26.18;26.545;25.28;25.76;11455000
20220412;000000;25.81;26.39;25.5;25.66;10698300
20220413;000000;25.6;26;24.725;25.56;9078300
20220414;000000;25.56;26.25;25.41;26.19;5646900
20220415;000000;26.255;26.355;24.7;24.825;9878900
20220416;000000;24.525;25;24.025;24.62;6004800
20220419;000000;24.7;25.1;23.37;23.91;7873400
20220420;000000;23.84;23.91;22.2;22.99;16745400
20220421;000000;23.09;23.23;22.25;23.2;23159500
20220422;000000;22.97;23.7;22.635;23;12961000
20220423;000000;22.885;23.11;22.6;22.69;5579300
20220426;000000;22.6;22.68;21.615;21.89;9910800
20220427;000000;22.005;23.365;21.92;23.225;11540300
20220428;000000;23.2;24.09;22.905;23.785;13102200
20220429;000000;23.995;24.32;23.045;23.355;11314400
20220430;000000;23.34;23.91;23.23;23.69;7712100
20220505;000000;23.73;23.88;23.055;23.055;4154300
20220506;000000;23.16;23.485;23.08;23.3;2769500
20220507;000000;23.17;24.07;22.865;23.92;9563700
20220512;000000;23.965;23.97;23.315;23.56;6471000
20220513;000000;23.56;23.665;22.4;22.55;6060600
20220514;000000;22.785;22.785;22.01;22.13;10914900
20220517;000000;22.13;22.885;22.005;22.5;7863300
20220518;000000;22.625;23.345;22.5;23;22615400
20220519;000000;23.175;24.7;23.175;23.4;26560200
20220520;000000;24.395;24.395;22.915;23.695;14038200
20220521;000000;23.595;23.595;22.99;23;7284100
20220524;000000;23.045;23.1;22.095;22.095;8269900
20220525;000000;22.32;22.68;21.8;22.3;7382700
20220526;000000;22.42;22.85;22.125;22.49;6842200
20220527;000000;22.685;23.525;22.55;23.22;12687800
20220528;000000;23.395;23.42;22.77;23.02;6611700
20220531;000000;23.275;23.47;22.5;23.005;6617000
20220601;000000;22.935;22.94;21.89;22.265;23134900
20220602;000000;21.915;22.32;21.915;22.2;11801600
20220603;000000;22.175;22.295;21.955;22;8308800
20220604;000000;22.2;22.2;21.51;21.605;9010600
20220607;000000;21.765;21.855;21.25;21.475;7077200
20220608;000000;21.55;21.8;21;21.735;9066100
20220609;000000;21.8;22.2;21.705;22.1;10568900
20220610;000000;22.16;22.2;21.74;21.93;8593800
20220611;000000;22.01;22.195;21.9;22.1;7385000
20220615;000000;21.95;21.995;21.39;21.795;7986900
20220616;000000;21.785;21.94;21.52;21.815;6698300
20220617;000000;21.845;23.15;21.8;23.025;36594800
20220618;000000;23.05;23.095;22.695;22.695;8490400
20220621;000000;22.815;23.15;22.73;23.045;8330200
20220622;000000;23.15;23.16;22.61;22.61;9397300
20220623;000000;22.615;22.95;22.16;22.51;12620700
20220624;000000;22.5;22.645;22.22;22.52;11204100
20220625;000000;22.44;22.71;22.265;22.495;8252100
20220628;000000;22.53;22.88;22.425;22.88;14523600
20220629;000000;22.96;27.08;22.81;26.85;98886900
20220630;000000;26.98;27.68;24.55;24.9;121093000
20220701;000000;24.905;25.615;23.25;24.03;44819100
20220702;000000;24.025;26.69;23.77;25.11;65083700
20220705;000000;25.355;26.195;25.13;25.485;15954100
20220706;000000;25.545;27.22;25.235;26.97;43988000
20220707;000000;27.075;27.47;26.005;26.37;29540700
20220708;000000;26.36;26.43;25.7;26.135;12364700
20220709;000000;26.14;26.28;25.42;25.995;10132000
20220712;000000;25.9;25.96;24.985;25.185;10246400
20220713;000000;25.15;25.15;24.325;24.78;11362700
20220714;000000;24.87;25.01;24.175;24.33;11949600
20220715;000000;24.425;24.84;23.805;23.95;11795300
20220716;000000;24.095;24.58;23.62;24.55;10881000
20220719;000000;24.595;24.9;24.275;24.45;9354300
20220720;000000;23.885;24.05;23.425;24.05;14487400
20220721;000000;24.045;24.985;23.885;24.9;10614400
20220722;000000;24.95;26.5;24.515;25.77;46392600
20220723;000000;25.8;26.68;25.775;26.365;22015100
20220726;000000;26.35;27.185;25.55;27.05;18007100
20220727;000000;27.105;27.43;26.305;26.785;16104600
20220728;000000;26.995;26.995;26.1;26.105;11665200
20220729;000000;26.105;26.325;25.65;25.88;8532500
20220730;000000;25.8;28.4;25.67;28.165;49980300
20220802;000000;28.2;29.1;27.265;27.425;45638100
20220803;000000;27.355;27.555;26.455;26.455;19304700
20220804;000000;26.57;26.86;26.005;26.005;14534200
20220805;000000;26.035;26.9;25.8;26.345;18183000
20220806;000000;26.355;26.495;25.39;25.39;16338800
20220809;000000;25.845;26.355;25.64;25.64;15053000
20220810;000000;25.745;26.295;25.52;26.255;12121900
20220811;000000;26.295;27.5;26.195;26.83;30206900
20220812;000000;26.97;27.215;26.245;26.75;24164500
20220813;000000;26.595;26.79;26.36;26.54;6654600
20220816;000000;26.67;26.69;25.85;26.49;12737700
20220817;000000;26.49;26.49;26.24;26.42;7934000
20220818;000000;26.5;26.75;26;26;9503400
20220819;000000;26;26.17;25.815;26;6509200
20220820;000000;26.05;26.06;25.51;25.745;6898200
20220823;000000;25.565;26.28;25.5;26.05;9309600
20220824;000000;25.985;26.185;25.855;25.97;9391900
20220825;000000;25.985;26.1;25.1;25.22;23435400
20220826;000000;25.27;25.3;24.44;24.65;22077700
20220827;000000;24.85;25.015;24.695;24.96;13510500
20220830;000000;24.935;25.325;24.86;25.07;13013000
20220831;000000;25.1;25.19;24.915;25.08;14216700
20220901;000000;25.055;25.6;24.82;25.5;21503600
20220902;000000;25.49;25.81;25.135;25.22;18481400
20220903;000000;25.37;27.77;25.34;27.37;142678500
20220906;000000;27.495;27.8;26.51;27.345;43038400
20220907;000000;27.265;27.295;26.005;26.235;24831300
20220908;000000;26.235;26.345;25.5;25.5;17244500
20220909;000000;25.645;26.23;25.51;25.71;17002900
20220910;000000;25.915;26.77;25.635;26.4;27507800
20220913;000000;26.25;26.68;26.205;26.5;14174600
20220914;000000;26.57;26.64;25.955;26.005;8969400
20220915;000000;26.01;26.085;25.6;26.015;8971800
20220916;000000;26.035;26.855;25.95;26.435;26105400
20220917;000000;26.46;26.62;25.77;26.035;13992200
