<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20220816,000000,31.8,32.4,30.33,30.72,4753400
20220817,000000,30.81,31.04,30.4,30.45,1502300
20220818,000000,30.45,31.7,30.45,31.14,3606100
20220819,000000,31.16,31.3,30.45,30.7,1424700
20220820,000000,30.77,30.95,28.99,29.82,3636200
20220823,000000,29.91,30.26,29.21,29.83,1916400
20220824,000000,29.95,30.08,29.6,29.79,847400
20220825,000000,30.01,30.01,29.51,29.62,602200
20220826,000000,29.6,30.5,29.09,29.89,1335300
20220827,000000,30.1,30.45,29.8,29.87,950500
20220830,000000,29.89,32.4,29.87,32.37,11184900
20220831,000000,32.35,33.59,31.51,32.72,7583800
20220901,000000,32.72,33.48,31.1,33.06,3831300
20220902,000000,33.06,34.85,32.71,34.4,6226200
20220903,000000,34.49,35.92,34.42,35.15,5628400
20220906,000000,35.7,38.4,35.21,37.45,10022700
20220907,000000,37.75,40.3,35.95,37.98,19441800
20220908,000000,38.49,39.9,36.3,37.5,10450500
20220909,000000,37.38,38.4,36.11,36.32,4698000
20220910,000000,36.43,37.46,36.43,36.81,3700200
20220913,000000,37.02,38.39,36.9,37.56,3828600
20220914,000000,37.82,38.1,37.21,37.78,2650800
20220915,000000,37.89,37.89,37.33,37.35,1585900
20220916,000000,37.76,38.88,37.58,38.57,3674400
20220917,000000,38.69,39.48,37.57,38.21,4037600
20220920,000000,38.06,39,37.9,38.89,1825700
20220921,000000,39,39.7,33.32,33.9,12720300
20220922,000000,30.02,35.5,27,33.67,8578000
20220923,000000,33.21,35.92,32.52,34.66,3832900
20220924,000000,34.2,34.85,31,31.52,3923100
20220927,000000,30.89,31.4,27.87,29.37,5849100
20220928,000000,30.99,30.99,29.34,30.47,1881700
20220929,000000,30.6,32,29.5,29.56,1830900
20220930,000000,30.45,31.77,29.8,31,3853000
20221001,000000,31.39,31.9,30.04,30.39,3729100
20221004,000000,30.75,33.3,30.57,32.2,3131300
20221005,000000,32.86,34.5,32.54,34.18,3124100
20221006,000000,34.2,34.5,31.02,33.65,3573800
20221007,000000,33.8,34.5,32.32,33.2,1680500
20221008,000000,33.87,34.16,33,33.84,2304900
20221011,000000,31.08,35.39,31.07,34.66,2125000
20221012,000000,35.12,35.87,34.8,35.75,1586800
20221013,000000,35.9,37,35.77,36.85,1664400
20221014,000000,37,37.62,35.6,36.38,3193400
20221015,000000,36.48,36.78,35.2,35.61,1393700
20221018,000000,35.6,36.44,35.41,36.21,1247800
20221019,000000,36.5,36.7,35.75,36.02,1585000
20221020,000000,35.61,36.1,35,35.53,1587600
20221021,000000,35.92,36.99,35.67,36.17,1709600
20221022,000000,36.4,36.54,35.82,36.08,924300
20221025,000000,36.31,37.4,36.05,36.37,2008300
20221026,000000,36.4,36.95,36.06,36.45,1614900
20221027,000000,37.04,37.7,36.62,37.32,4401500
20221028,000000,37.58,38.66,37.44,38.34,1915900
20221029,000000,38.34,38.51,36.7,37.98,1584400
20221101,000000,38,38.49,37.32,37.46,747300
20221102,000000,37.64,39.53,37.62,38.64,3858600
20221103,000000,38.89,38.89,38.01,38.16,1290100
20221104,000000,38.01,38.27,37.3,38.01,868200
20221108,000000,38.2,38.6,37.87,38.39,1042600
20221109,000000,38.62,42.88,38.42,40.72,9154800
20221110,000000,40.72,40.88,38.51,38.66,3254500
20221111,000000,39.24,39.44,38.6,39.04,2015400
20221112,000000,39,40.2,38.71,38.9,889000
20221115,000000,39.24,40.49,39.03,39.81,1932700
20221116,000000,40.02,41.32,39,39.92,2838100
20221117,000000,39.75,40.69,39.51,40.07,1360000
20221118,000000,40.15,41,39.97,40.8,1394100
20221119,000000,40.98,41.13,40.31,40.6,804000
20221122,000000,40.64,40.64,39.38,39.58,1262300
20221123,000000,39.68,39.93,39.02,39.64,759000
20221124,000000,39.69,40.26,39.51,40,822600
20221125,000000,40.39,40.58,40,40.2,1004400
20221126,000000,40.26,40.4,39.7,39.81,746100
20221129,000000,39.8,39.81,38.34,38.49,2450100
20221130,000000,38.76,38.83,38.2,38.3,1787500
20221201,000000,38.3,38.45,37.24,38,1773000
20221202,000000,38.28,39.3,38,38.4,2765700
20221203,000000,38.88,39.45,38.03,38.24,1959400
20221206,000000,38.27,38.67,38.02,38.34,718400
20221207,000000,38.42,38.98,38.15,38.42,703500
20221208,000000,38.44,38.5,38.1,38.3,507700
20221209,000000,38.4,38.5,38.04,38.11,338700
20221210,000000,37.99,37.99,34.31,34.83,15176500
20221213,000000,34.99,35.2,33.24,33.51,5340300
20221214,000000,34.1,34.97,33.31,33.79,4506100
20221215,000000,33.85,34.68,33.58,33.94,2040100
20221216,000000,33.9,33.92,33.33,33.44,1240600
20221217,000000,33.41,36.4,32.61,35.13,9729000
20221220,000000,35.39,35.46,34.35,34.61,2659700
20221221,000000,34.52,34.69,33.7,33.9,2724800
20221222,000000,34.15,34.21,33.41,33.54,888500
20221223,000000,33.76,33.79,32.42,32.52,2871300
20221224,000000,32.82,33.33,32.15,32.36,2421500
20221227,000000,32.34,34.37,32.24,33.6,4838500
20221228,000000,33.59,34.45,33.51,34.28,2778500
20221229,000000,34.28,35.19,33.76,33.95,4033600
20221230,000000,33.9,33.92,32.8,33.68,6154700
20221231,000000,33.68,33.91,33.12,33.68,1346500
20230104,000000,33.79,34.38,33.69,34.23,1189400
20230105,000000,34.39,34.39,34.01,34.09,475000
20230106,000000,34.14,34.19,33.75,33.87,525800
20230107,000000,33.91,34.14,33.8,33.91,545800
20230110,000000,33.91,35.1,33.91,34.92,2831800
20230111,000000,34.91,35.75,34.64,35.15,2231200
20230112,000000,34.55,34.79,33.06,34.09,5084400
20230113,000000,34.16,34.18,33.5,33.79,1439200
20230114,000000,33.81,33.95,33.76,33.8,1004500
20230117,000000,33.94,34.12,33.71,33.94,1891100
20230118,000000,34,36.15,34,34.63,8709700
20230119,000000,34.83,35.4,34.01,34.7,3524500
20230120,000000,34.71,34.87,33.91,34.04,1732000
20230121,000000,34.23,34.57,33.85,34.01,804600
20230124,000000,34.09,34.5,33.81,34.13,1125900
20230125,000000,34.21,34.35,34.05,34.06,538100
20230126,000000,34.05,34.09,33.85,33.92,481300
20230127,000000,33.9,34.09,33.87,33.89,398500
20230128,000000,33.97,34.2,33.3,33.85,1224100
20230131,000000,33.88,34.07,33.2,33.6,2167200
20230201,000000,33.96,34.19,33.6,33.91,1460800
20230202,000000,34.08,34.29,33.96,34.07,1245300
20230203,000000,34.21,34.24,33.89,34.06,766000
20230204,000000,34.15,34.77,34.08,34.29,1736900
20230207,000000,34.34,34.41,34.01,34.16,891500
20230208,000000,34.23,34.3,34.03,34.09,917600
20230209,000000,34.11,34.33,33.89,33.94,1161200
20230210,000000,33.95,34.07,33.69,33.8,599100
20230211,000000,33.94,34.02,33.75,33.91,588200
20230214,000000,34,34.7,33.9,34.09,1868100
20230215,000000,34.09,34.12,32.61,33.34,2197400
20230216,000000,33.34,33.34,32.2,32.28,1730800
20230217,000000,32.34,32.91,32.25,32.48,787900
20230218,000000,32.5,32.64,31.77,32.55,915200
20230221,000000,32.5,32.86,32,32.76,762900
20230222,000000,32.98,33.89,32.66,33.1,1478300
20230223,000000,33.19,33.51,32.88,33.25,710900
20230225,000000,33.54,33.55,33.03,33.39,462300
20230228,000000,33.35,33.7,33.22,33.68,634000
20230301,000000,33.76,33.98,33.55,33.84,724900
20230302,000000,33.77,34.02,33.69,33.75,520300
20230303,000000,33.75,33.8,32.91,33.35,1299600
20230304,000000,33.67,33.94,33.5,33.72,426400
20230307,000000,33.78,34.39,33.74,34.05,1730300
20230308,000000,34.19,35.5,34.04,34.72,4133500
20230310,000000,34.89,35.48,34.4,34.96,2075800
20230311,000000,34.95,35,34.47,34.58,1299500
20230314,000000,34.59,35.58,34.06,35.1,3751500
20230315,000000,35.09,35.15,34.6,34.88,1358300
20230316,000000,34.97,35.49,34.42,35.23,2525600
20230317,000000,35.25,35.28,34.5,34.93,854500
20230318,000000,34.99,35.45,34.9,35.28,2334800
20230321,000000,35.52,36.78,35.41,36.37,4581500
20230322,000000,36.46,37,35.62,36.5,3058900
20230323,000000,36.5,36.5,35.81,36.17,1343600
20230324,000000,36.18,37.19,36.1,37.13,2171800
20230325,000000,37.13,37.3,36.6,37.08,1351700
20230328,000000,37.13,37.88,37.1,37.75,2139500
20230329,000000,37.75,37.85,36.71,37.38,1631200
20230330,000000,37.35,37.76,37.2,37.73,1191000
20230331,000000,37.75,37.78,37.35,37.59,1217800
20230401,000000,37.58,37.65,36.7,37.05,1875100
20230404,000000,37.15,37.57,37,37.5,1249500
20230405,000000,37.5,37.67,36.87,37.14,1468200
20230406,000000,37.14,37.59,36.29,37.57,2514300
20230407,000000,37.67,37.72,37.11,37.16,983200
